52
-1	2753	3536	32	16
-1	2785	3504	32	16
_101.2	2801	3488	16	16
-1	2305	3472	224	16
-1	2561	3472	32	16
-1	2625	3472	160	16
_101.2	2801	3472	16	16
_101.2	2801	3456	16	16
-1	2401	3440	32	16
_101.2	2801	3440	16	16
_101.2	2801	3424	16	16
_101.2	2801	3408	16	16
_101.2	2801	3392	16	16
-1	769	3360	1584	16
-1	2369	3360	192	16
-1	2625	3360	48	16
-1	2689	3360	896	16
-1	1	3344	768	16
_101.1	2289	3344	16	16
_101.2	2801	3344	16	16
_101.1	3569	3344	16	16
_101.1	2289	3328	16	16
_101.2	2801	3328	16	16
-1	3489	3328	32	16
_101.1	3569	3328	16	16
-3	223	3312	16	30
-3	337	3312	16	30
-3	80	3311	16	30
-3	480	3311	16	30
-3	602	3311	16	30
_101.1	2289	3312	16	16
_101.2	2801	3312	16	16
_101.1	3569	3312	16	16
-1	1457	3296	48	16
-1	1697	3296	96	16
_101.1	2289	3296	16	16
-1	2433	3296	48	16
-1	2657	3296	48	16
_101.2	2801	3296	16	16
-1	2945	3296	176	16
-1	3537	3296	48	16
_101.1	2289	3280	16	16
-1	2625	3280	32	16
_101.2	2801	3280	16	16
-1	1521	3264	160	16
-1	2161	3264	272	16
-1	2721	3264	208	16
_101.1	3569	3232	16	16
_101.1	3569	3216	16	16
_101.1	2289	3200	16	16
-1	2785	3200	32	16
_101.1	3569	3200	16	16
